Date,Clicks,Impressions,CTR,Position
2025-11-21,2,7,28.57%,5.9
2025-11-22,2,6,33.33%,3.3
2025-11-23,1,13,7.69%,9.8
2025-11-24,1,5,20%,10.6
2025-11-25,1,5,20%,21.8
2025-11-26,3,11,27.27%,5.6
2025-11-27,0,10,0%,7.1
2025-11-28,5,13,38.46%,6.3
2025-11-29,1,4,25%,2.2
2025-11-30,1,11,9.09%,9.5
2025-12-01,0,11,0%,19.2
2025-12-02,4,14,28.57%,13.9
2025-12-03,1,12,8.33%,7.3
2025-12-04,1,11,9.09%,6.9
2025-12-05,5,24,20.83%,4.4
2025-12-06,6,14,42.86%,3.6
2025-12-07,4,16,25%,4.4
2025-12-08,0,18,0%,19.5
2025-12-09,0,16,0%,16.7
2025-12-10,2,11,18.18%,11.8
2025-12-11,0,15,0%,8.9
2025-12-12,0,13,0%,7.2
2025-12-13,2,11,18.18%,12.5
2025-12-14,1,9,11.11%,5.1
2025-12-15,0,15,0%,13.6
2025-12-16,0,16,0%,8.6
2025-12-17,0,5,0%,7.2
2025-12-18,3,13,23.08%,4.3
2025-12-19,3,11,27.27%,7
2025-12-20,1,12,8.33%,17.3
2025-12-21,3,16,18.75%,5.3
2025-12-22,3,12,25%,8.7
2025-12-23,5,19,26.32%,9.2
2025-12-24,1,7,14.29%,10.7
2025-12-25,0,4,0%,6.5
2025-12-26,1,6,16.67%,6.7
2025-12-27,1,8,12.5%,5.1
2025-12-28,0,6,0%,4
2025-12-29,0,3,0%,5.7
2025-12-30,1,9,11.11%,4.4
2025-12-31,1,13,7.69%,9.2
2026-01-01,2,7,28.57%,3.6
2026-01-02,1,13,7.69%,6
2026-01-03,1,7,14.29%,5.6
2026-01-04,2,7,28.57%,3.7
2026-01-05,4,10,40%,11.8
2026-01-06,1,6,16.67%,4.3
2026-01-07,2,9,22.22%,5.7
2026-01-08,3,10,30%,17.8
2026-01-09,3,13,23.08%,5
2026-01-10,1,11,9.09%,3.4
2026-01-11,5,23,21.74%,4.5
2026-01-12,4,22,18.18%,8.6
2026-01-13,3,27,11.11%,4.1
2026-01-14,8,21,38.1%,6.1
2026-01-15,8,37,21.62%,6.8
2026-01-16,7,34,20.59%,4.3
2026-01-17,4,34,11.76%,7.7
2026-01-18,9,54,16.67%,6.6
2026-01-19,5,31,16.13%,7.8
2026-01-20,7,43,16.28%,6.6
2026-01-21,8,44,18.18%,6.5
2026-01-22,8,47,17.02%,6.1
2026-01-23,7,45,15.56%,8.1
2026-01-24,9,47,19.15%,9
2026-01-25,9,61,14.75%,7.8
2026-01-26,7,58,12.07%,6.2
2026-01-27,6,43,13.95%,5.3
2026-01-28,6,41,14.63%,8
2026-01-29,5,70,7.14%,6.6
2026-01-30,13,59,22.03%,5.5
2026-01-31,8,80,10%,7.4
2026-02-01,12,92,13.04%,7.4
2026-02-02,14,100,14%,7.3
2026-02-03,9,59,15.25%,5.8
2026-02-04,5,45,11.11%,7.7
2026-02-05,6,56,10.71%,7.6
2026-02-06,8,59,13.56%,6.1
2026-02-07,10,75,13.33%,7.2
2026-02-08,18,72,25%,5.7
2026-02-09,7,84,8.33%,11.1
2026-02-10,12,87,13.79%,6.3
2026-02-11,13,79,16.46%,6.1
2026-02-12,6,102,5.88%,6.5
2026-02-13,14,77,18.18%,6.3
2026-02-14,9,119,7.56%,7.8
2026-02-15,13,96,13.54%,6.1
2026-02-16,25,152,16.45%,8.6
2026-02-17,20,163,12.27%,5.7
2026-02-18,18,187,9.63%,7.3
2026-02-19,10,126,7.94%,8
2026-02-20,10,110,9.09%,6.4