Top queries,Clicks,Impressions,CTR,Position
manatap ai,118,165,71.52%,1
manatap,38,446,8.52%,5.3
manatap.ai,23,29,79.31%,1.14
mtg ai deck analyzer,13,112,11.61%,6.67
mtg ai deck builder,4,35,11.43%,9.03
ai mtg deck analyzer,4,20,20%,8.6
mtg deck builder ai,4,14,28.57%,7
mana tap ai,3,4,75%,1
mtg deck analyzer ai,2,26,7.69%,7.92
ai commander deck analyzer,2,19,10.53%,7.05
mtg deck tester ai,2,19,10.53%,11
mtg deck ai,1,21,4.76%,8.38
ai mtg deck builder,1,16,6.25%,16.62
ai deck builder mtg,1,8,12.5%,9.62
mtg ai helper,1,5,20%,3.6
mtg ai deck optimizer,1,5,20%,13
mtg deck analyzer,1,2,50%,44.5
mana tap,0,96,0%,4.94
mtg wishlist tracker,0,44,0%,10.52
mana tap mtg,0,14,0%,7.07
ai deck analyzer,0,13,0%,6.54
deck ai mtg,0,12,0%,6.75
best ways to share mtg decklist for ai analysis,0,12,0%,7.42
mtga assistant export collection csv,0,10,0%,10.3
mtg deck builder assistant,0,9,0%,9
manna tap,0,8,0%,10
ai deck analyzer mtg,0,7,0%,11.57
urza ai,0,7,0%,39.86
urza's ai,0,7,0%,43
ai commander deck builder,0,6,0%,7.17
mtg deckbuilder ai,0,5,0%,4.4
mtg deck ai analyzer,0,5,0%,7
mtg ai deck builder from collection,0,5,0%,26.2
mtg hand simulator,0,4,0%,8
magic the gathering ai deck builder,0,3,0%,7.67
best ways to share mtg decklist with ai for analysis,0,3,0%,8
ai mtg commander deck builder,0,3,0%,8.33
best ai for mtg deck building,0,3,0%,9
ms bumbleflower upgrades,0,3,0%,19.67
deck maker mtg cost,0,3,0%,45
london mulligan,0,3,0%,80
magic ai deck builder,0,2,0%,6
mtg commander ai deck builder,0,2,0%,6
ai deck checker,0,2,0%,8
mtg deck optimizer,0,2,0%,10
mtg reanimator commander,0,2,0%,31
magic deck cost calculator,0,2,0%,51
deck creator mtg cost,0,2,0%,70.5
mtg ai player,0,1,0%,1
mana ai,0,1,0%,3
ai deck rater,0,1,0%,5
edh ai deck builder,0,1,0%,5
mtg ai deckbuilder,0,1,0%,5
mtg ai,0,1,0%,6
ai edh deck builder,0,1,0%,7
best ways to share mtg decklists for ai analysis,0,1,0%,7
commander deck builder ai,0,1,0%,7
mtg commander ai,0,1,0%,7
deck check ai,0,1,0%,8
magic deck optimizer,0,1,0%,8
ai magic deck builder,0,1,0%,9
deck ai analyzer,0,1,0%,9
mtg analyzer,0,1,0%,9
ai deck checker mtg,0,1,0%,10
ai magic the gathering deck builder,0,1,0%,10
mtg deck building ai,0,1,0%,10
reanimator commanders,0,1,0%,10
deck check,0,1,0%,11
deck optimizer mtg,0,1,0%,11
mtg deck analyzer free,0,1,0%,17
mantap ai,0,1,0%,19
ms bumbleflower precon upgrade guide,0,1,0%,29
urzas ai,0,1,0%,31
deck maker mtg company,0,1,0%,41
mtg deck builder company,0,1,0%,43
mtg reanimator deck,0,1,0%,46
reanimator deck mtg,0,1,0%,46
mtg price tracker,0,1,0%,53
mulligan magic,0,1,0%,71
mtg mulligan,0,1,0%,81
how does mulligan work mtg,0,1,0%,82
best mtga assistant,0,1,0%,85
mtg deck price calculator,0,1,0%,92
mtg deck builder cost,0,1,0%,95
deck maker mtg services,0,1,0%,96
mtg deck price checker,0,1,0%,100